冬虫夏草的入药方剂：
平喘固本汤
骨髓丸
清肝泻火汤
加味养血生发汤
平喘丸
防喘汤
冬虫夏草酒
蛤蚧固金汤
加味养血生发汤
加味养血生发汤
阿胶的入药方剂：
滋阴降火清肺养脾丸
补肺阿胶汤
五痨麝香散
补肾固冲丸
三清丸
青要结肠丸
桂枝柏叶汤
阿胶黄芩汤
阿胶黄连汤
龙脑牛黄丸
海松子的入药方剂：
三仙粥
腊享膏
蜡享膏
百合花的入药方剂：
神仙益寿二气丹
羊肾的入药方剂：
止痛排脓生肌神秘方
狼毒丸
胜金丸
海参丸
阿胶膏
大补气方
石斛饮
人参补肾汤
羊肾补肾汤
苁蓉羊肾粥
粳米的入药方剂：
羊脊骨粥
辟谷散
胡萝卜粥
通草汤
五谷露
金樱子粥
豆蔻粥
天门冬粥
栗子粥
炒米汤
莼的入药方剂：
麦门冬理中汤
藕羹
通脉泻热泽泻汤
莼菜羹
藕实羹
莼羹方
栝楼子的入药方剂：
栝楼子膏
杜仲独活汤
小陷胸汤加枳梗汤
梅花取香汤
栝楼子散
栀子丸
南烛叶的入药方剂：
滋营养液膏
陈氏乌须丸
涤痰丸
肉苁蓉的入药方剂：
肉苁蓉汤
壮腰健肾汤
开心薯蓣肾气丸
解毒地黄丸
秘方十补丸
展阳神丹
牛角(角思)散
补血荣筋丸
健脾丸
羊脊骨粥
磁石的入药方剂：
平喘固本汤
牛膝丹参酒
菖蒲膏
耳鸣丸
一笔消
金匮银屑镇心丸
补肾熟干地黄丸
磁朱丸
补肾磁石丸
五毒丹
莲子的入药方剂：
生发方
开胃进食汤
参苓白术散
千金固肾丸
参茸固本还少丹
开胃散
人参开胃汤
金锁固精丸
药粉
大醒脾散
瓜蒌子(瓜蒌仁)(片)的入药方剂：
海狗肾的入药方剂：
保真种子膏
补天育麟丹
壮阳丸
壮阳丹
秘授术宝真丹
振阳丹
固精种子丸
燕窝的入药方剂：
金水八物汤
中和理阴汤
人参燕窝百合汤
消积肥儿糕
三炁降龙丹
念水八物汤
味补汤
参燕百补丸
胶粉散
八物煎
燕窝的入药方剂：
隔山消的入药方剂：
川乌头的入药方剂：
桃仁煎丸
涂香油方
真方白丸子
天仙丸
九龙丸
正中丸
枳壳煎丸
川乌灵脂丸
甘草饮
狗脊丸
霞天膏的入药方剂：
霞天曲
车前子的入药方剂：
九子地黄丸
八正散
加味肾气丸
升清降浊汤
加减完带汤
去湿健脾汤
黄病鼓胀丸
八正散加木香汤
洗肝胆车前子散
加味五淋散
桑白皮的入药方剂：
恒山汤
人参蛤蚧散
白药
润喉汤
人参款冬花膏
太和汤
丹参牛膝煮散
清咽宁肺汤
紫苏大腹皮饮
沙参清肺汤
