狼毒-大狼毒(格枝糯,乌吐,五虎下西山,矮红)
白花射干(冷水丹(《植物名实图考》)。)
野花生(假绿豆、决明)
山梗菜(半边莲,水苋菜,苦菜,节节花,大种半边莲,水折菜,天竹七,对节白,水杨,柳)
金樱子(刺榆子、刺梨子、金罂子、山石榴、山鸡头子、糖莺子、糖罐、糖果、蜂糖罐、槟榔果、金壶瓶、糖橘子、黄茶瓶、藤勾子、螳螂果、糖刺果、灯笼果、刺橄榄、灯笼果、刺兰棵子)
了哥王(地棉皮、山豆了、九信草。)
蓖麻子(萆麻子、蓖麻仁、大麻子、红大麻子)
青风藤(清风藤,青藤,寻风藤)
牵牛子(草金铃(《雷公炮炙论》)，金铃(《本草图经》)，黑牵牛、白牵牛(《仁斋直指方》)，黑丑、白丑(《纲目》)。)
手掌参(佛手参、掌参(《宁夏中草药手册》)，手儿参(《陕西中草药》)，旺拉(藏名)。)
防己(解离(《本经》)，载君行(《本草蒙筌》)，石解(《纲目》)。)
槟榔(仁频(《上林赋》)，宾门(李当之《药录》)，宾门药饯(《南方草木状》)，白槟榔(《药性论》)，橄榄子(《食疗本草》)，槟榔仁(《外台》)，洗瘴丹(侯宁极《药谱》)，大腹子(《岭表录异》)，大腹槟榔(《本草图经》)，槟榔子(《纲目》)，马金南(《花镜》)，青仔(《中国树木分类学》)，槟榔玉、榔玉(《中药志》)。)
白术(山蓟、杨抱蓟(《尔雅》)，术(《本经))，山芥、天蓟(《吴普本草》)，山姜(《广雅》)，乞力伽(《南方草木状》)，山精(《神药经》)，山连(《别录》)，冬白术(《得配本草》)。)
芫花(芫(《山海经》)，去水(《本经》)，败花、赤芫、儿草(《吴普本草》)，毒鱼、杜芫(《别录》)，头痛花(《纲目》)，闷头花、老鼠花(《东还纪程》)，闹鱼花(《中国树木分类学》)，棉花条、大米花(《江苏植药志》)，芫条花、野丁香花(《山东中药》)，九龙花、浮胀草、地棉花(《湖南药物志》)，银腰带、小叶金腰带(《江西草药》)。)
铃当子(小牵牛花)
鲎胆(鲎鱼胆(《圣济总录》)。)
细叶桉叶(细叶桉、褐桉树)
扁竹根(土知母、鸭儿参(《贵州民间方药集》)，下搜山虎(《贵州草药》)，铁扁担(《上海常用中草药》)。)
窝儿七(阿儿七、窝儿参、山荷叶(《陕西中草药》)。)
麻油(胡麻油(《别录》)，乌麻油(《外台》)，脂麻油(《近效方》)，香油(苏轼《物类相感志》)，生油(《本草衍义》)，清油(《岭南卫生方》)。)
