野鸦椿子
水芹菜
凤尾茶
黄豆
大发汗
神曲茶
荫风轮
黄芪
牡荆叶
土羌活
黄皮叶
山芝麻
倒扣草
灯盏细辛
六月寒
天青地白
牡蒿
建神曲
柽柳
草石蚕
飞龙掌血
一枝黄花
大豆黄卷
淡豆豉
蝉蜕
香茅
香薷
桂枝
藿香
柴胡
铃茵陈
薤白
羌活
红升麻根
五凤朝阳草
白升麻
酸水草
青箭杆草
佛肚花
野苏麻
水禾麻
绿豆升麻
枝儿条
三棱草
山麻黄
木姜花
游草
大虎耳草
山薄荷
母菊
砖子苗
菅茅根
水朝阳
香樟果
茉莉叶
迎山红
蜂窝草
细香葱
小巢菜
风气草
沙漠嘎
挖耳草2
生藤
发痧藤
倒挂牛
天蓬草
山黄皮
山五味子
沙柳
山苏木
兰花参
单条草
黄荆叶
红马蹄草
五香草
黄荆枝
牛奶子
落新妇
野黄皮
