野鸦椿子的入药方剂：
水芹菜的入药方剂：
芹菜黑枣汤
凤尾茶的入药方剂：
黄豆的入药方剂：
复方松塔丸
济生大丹
人参温脾散
天下第一乌须方
淫羊补浆汤
钓虫黑白丸
柳花散
灌脓起顶汤
消毒保婴丹
补浆汤
大发汗的入药方剂：
神曲茶的入药方剂：
荫风轮的入药方剂：
黄芪的入药方剂：
防己黄芪汤
泰山磐石散
黄芪桂枝五物汤
防已黄芪汤
补阳还五汤
平补鹿茸丸
内补黄芪汤
固冲汤
象牙散
劫敏汤
牡荆叶的入药方剂：
土羌活的入药方剂：
黄皮叶的入药方剂：
山芝麻的入药方剂：
感冒清
将军复战丹
十全丸
岗梅汤
马前散
倒扣草的入药方剂：
灯盏细辛的入药方剂：
六月寒的入药方剂：
天青地白的入药方剂：
牡蒿的入药方剂：
大黄丸
建神曲的入药方剂：
加减藿香正气丸
万应剪金丸
加味藿香正气散
佛手丸
安胃汤
梅花普度丹
疏解清肺饮
加减平胃散
泄肝和胃化湿汤
肥儿丸
柽柳的入药方剂：
四物滋阴汤
柽花散
草石蚕的入药方剂：
飞龙掌血的入药方剂：
飞龙掌血的入药方剂：
一枝黄花的入药方剂：
大豆黄卷的入药方剂：
大豆丸
蚕矢汤
佛手丸
易产神效八味散
千金保生丸
大防风丸
二加减正气散
填骨髓煎
威灵仙散
神效八味散
淡豆豉的入药方剂：
银翘散
水痘汤
大蒜丸
加减葳蕤汤
桑菊葱豉饮
犀角解毒片
葱豉桔梗汤
立安丸
神仙秘诀丸
养阴驱邪汤
蝉蜕的入药方剂：
一见消
清热退翳汤
大黄连翘汤
普救万全膏
痔疮丸
增损双解散
顺气搜风接命丹
雾散消毒饮
活络膏
解毒蕲蛇丸
香茅的入药方剂：
鸡舌香散
香薷的入药方剂：
万应神曲
消暑十全散
中暑汤
人参白虎汤
加减藿香正气丸
新加香薷饮
十滴水
万应午时茶
驱暑建中汤
清暑六和汤
桂枝的入药方剂：
苓桂丹参汤
桂枝附子汤
正气饮
柴胡加龙骨牡蛎汤
茯苓桂枝白术甘草汤
万应神曲
养心汤
桂枝麻黄各半汤
桂枝柏叶汤
桃核承气汤
藿香的入药方剂：
甘露消毒丹
氤氲汤
正气饮
益智子散
消暑十全散
太和汤
逍遥散
人参半夏丸
丁香生胃散
香砂养胃汤
柴胡的入药方剂：
血府逐瘀汤
一见消
恒山汤
天保丸
四逆散
姜附御寒汤
柴胡加龙骨牡蛎汤
舒肝理气汤
五痨麝香散
清胰汤
铃茵陈的入药方剂：
薤白的入药方剂：
五痨麝香散
瓜蒌薤白白酒汤
枳实薤白桂枝汤
拨粥
胸膜炎汤2号
艾叶丸
生肉地黄膏
野葛贴
蛇衔生肉膏
阿胶膏
羌活的入药方剂：
消肿止疼药膏
止痛药
一见消
天保丸
紫色消肿膏
壮腰健肾汤
身痛逐瘀汤
姜附御寒汤
万应神曲
祛风除湿汤
红升麻根的入药方剂：
五凤朝阳草的入药方剂：
白升麻的入药方剂：
酸水草的入药方剂：
青箭杆草的入药方剂：
佛肚花的入药方剂：
野苏麻的入药方剂：
水禾麻的入药方剂：
绿豆升麻的入药方剂：
枝儿条的入药方剂：
三棱草的入药方剂：
三棱草煎
神助丸
山麻黄的入药方剂：
木姜花的入药方剂：
游草的入药方剂：
大虎耳草的入药方剂：
山薄荷的入药方剂：
四草定痛汤
母菊的入药方剂：
砖子苗的入药方剂：
菅茅根的入药方剂：
水朝阳的入药方剂：
香樟果的入药方剂：
茉莉叶的入药方剂：
迎山红的入药方剂：
蜂窝草的入药方剂：
细香葱的入药方剂：
小巢菜的入药方剂：
风气草的入药方剂：
沙漠嘎的入药方剂：
挖耳草2的入药方剂：
生藤的入药方剂：
发痧藤的入药方剂：
倒挂牛的入药方剂：
天蓬草的入药方剂：
天蓬草的入药方剂：
山五味子的入药方剂：
沙柳的入药方剂：
山苏木的入药方剂：
散血消核汤
赤葛膏
续骨散
嗍骨散
蠲脊散
四圣丹
轻脚散
兰花参的入药方剂：
单条草的入药方剂：
黄荆叶的入药方剂：
消风返正汤
救生丹
红马蹄草的入药方剂：
五香草的入药方剂：
黄荆枝的入药方剂：
牛奶子的入药方剂：
落新妇的入药方剂：
野黄皮的入药方剂：
