肝阳不足证,六味地黄丸
肝阳不足证,归芍地黄丸
肝虚风动证,左归丸
肝虚风动证,大补元煎
肝阴虚动风证,镇肝熄风汤
肝阴虚动风证,大定风珠
肝气郁结证,半夏厚朴汤
肝气郁结证,海藻玉壶汤
肝气郁结证,昆布丸
肝气郁结证,四逆散
肝气郁结证,沉香降气散
肝气郁结证,三棱汤
肝气郁结证,膈下逐瘀汤
肝气郁结证,鳖甲煎丸
肝气郁结证,柴胡疏肝散?
肝郁气滞证,丹栀逍遥散
肝郁气滞证,左金丸
肝郁气滞证,逍遥散
肝郁气滞证,四海舒郁丸
肝郁气滞证,神效瓜蒌散
肝郁气滞证,开郁散
肝郁气滞证,柴胡疏肝散
肝郁气滞证,逍遥散
肝郁气滞证,青风羚羊汤
肝郁气滞证,沉香散
肝郁气滞证,开郁散
肝郁气滞证,逍遥丸
肝郁气滞证,沉香散
肝郁气滞证,解郁汤
肝郁气滞证,四逆散
肝郁气滞证,越鞠丸
肝郁化热证,丹栀逍遥散
肝郁化热证,转呆汤
肝郁化热证,龙胆泻肝汤
肝郁化热证,柴胡清肝汤
肝郁化热证,龙胆泻肝汤
肝郁化热证,逍遥散
肝郁火旺证,丹栀逍遥散
肝郁痰凝证,开郁散
肝郁痰凝证,逍遥散
肝郁痰凝证,神效瓜蒌散
肝郁痰凝证,清肝解郁汤
肝郁痰凝证,季芝鲫鱼膏
肝郁痰凝证,散肿溃坚汤
肝郁痰热证,柴胡清肝汤
肝郁痰火证,柴胡清肝汤
肝郁痰火证,温胆汤
肝郁痰火证,当归龙荟丸
肝郁痰火证,柴胡饮子
肝郁痰火证,防风当归饮子
肝郁痰火证,麦煎散
肝郁血热证,丹栀逍遥散
肝郁血瘀证,复元活血汤
肝郁阴虚证,天麻钩藤饮
肝阳暴亢证,天麻钩藤饮
肝阳暴亢证,羚角钩藤汤
肝阳暴亢证,安宫牛黄丸
肝阳挟痰上扰证,天麻钩藤饮
肝风痰浊证,丹栀逍遥散
肝经气滞证,沉香散
肝经气滞证,
肝经风寒证,羌活胜风汤
肝经风寒证,羚羊角饮子
肝经风寒证,空青丸
肝经风寒证,新制柴连汤
肝经郁热证,柴胡清肝汤
肝经郁热证,子芩丸
肝经郁热证,龙胆泻肝汤
肝络瘀阻证,小柴胡汤
胆腑郁热证,大柴胡汤
胆腑郁热证,龙胆泻肝汤
胆热痰扰证,温胆汤
胆气虚证,温胆汤
胆气虚证,安神定志丸
胆气虚证,五福饮
胆气虚证,七福饮
胆气虚证,八珍汤
胆气虚证,定志丸
胆气虚证,酒调辰砂妙香散
胆郁痰扰证,温胆汤
胆郁发黄证,柴胡疏肝汤
中虚脏寒证,小建中汤
脾气虚证,四君子汤
脾气虚证,六君子汤
脾气虚证,补中益气汤
脾虚气弱证,黄芪汤
脾虚气弱证,补中益气汤
脾虚失运证,补中益气汤
脾气不升证,补中益气汤
脾气不升证,春泽汤
脾不统血证,归脾汤
脾阴虚证,沙参麦门冬汤
脾阴虚证,资生汤
脾阴虚证,升阴汤
