表虚证,桂枝汤，玉屏风散，牡蛎散
热盛血瘀证,清瘟败毒饮
热盛动血证,犀角地黄汤
热盛伤络证,白虎汤
热伤肺络证,桑杏汤，泻白散，黛蛤散，百合固金汤
热与血结证,桃仁承气汤
热结血室证,五淋散，四物汤
热伤肺津证,白虎汤，绿豆酒
热伤营阴证,清营汤
火盛伤阴证,二阴煎，琥珀养心丹
热伤肾阴证,复脉汤
热灼真阴证,复脉汤
毒蕴肌肤证,黄连解毒汤，仙方活命饮
毒盛酿脓证,普济消毒饮
毒盛肉腐证,五味消毒饮，黄连解毒汤，仙方活命饮，五味消毒饮
毒邪内闭证,黄连解毒汤
毒燔气营证,凉营清气汤
毒入营血证,犀角地黄汤，黄连解毒汤，三妙丸
正虚毒炽证,托里消毒散，安宫牛黄丸
正虚毒结证,八珍汤，仙方活命饮，托里消毒散
正虚毒陷证,清营汤，黄连解毒汤，安宫牛黄丸，紫雪散，附子理中汤，益胃汤
正虚毒恋证,托里消毒散
余毒攻窜证,黄连解毒汤，犀角地黄汤
余毒伤阴证,清咽养营汤
湿毒侵淫证,麻黄连翘赤小豆汤，五味消毒饮
湿毒蕴肤证,萆薢渗湿汤
火毒袭表证,柴胡葛根汤
火毒蕴肤证,黄连解毒汤，凉血四物汤
火毒入络证,五味消毒饮，可保立苏散
火热邪毒壅盛证,普济消毒饮
热毒壅结证,大黄黄连泻心汤
热毒炽盛证,犀角地黄汤，黄连解毒汤，透脓散
火毒炽盛证,犀角地黄汤，黄连解毒汤，清瘟败毒散，导赤散，龙胆泻肝汤，四妙勇安汤，清瘟败毒散，透脓散
火毒凝结证,五味消毒饮，黄连解毒汤，仙方活命饮
热毒酿脓证,银翘散
热盛肉腐证,大黄黄连泻心汤
火毒传心证,吴茱萸汤，牛黄清心丸，犀角散
火毒传脾证,五昧消毒饮
火毒传肾证,小柴胡汤
火毒闭肺证,黄连解毒汤，三拗汤
火毒入营血证,犀角地黄汤，清瘟败毒饮，导赤散
火毒陷营证,银翘散
火毒陷营证,银翘散
火毒内陷证,新加五味消毒饮，清营汤，犀角地黄汤
火毒上攻证,龙胆泻肝汤
热毒蕴结大肠证,小承气汤，增液汤，大承气汤
热毒伤阴证,顾步汤，大黄牡丹汤，透脓散
脓毒蚀骨证,八珍汤，六味地黄丸
疫毒引睾窜腹证,龙胆泻肝汤
疫毒攻喉证,神仙活命饮
温毒下注证,萆薢化毒汤，普济消毒饮，金铃子散
疫毒伤络证,泻肺饮
毒陷心肝证,羚角钩藤汤，清瘟败毒饮
