匙叶草的入药方剂：
红榔木的入药方剂：
马蹬草的入药方剂：
狮子七的入药方剂：
杭白菊花的入药方剂：
独一味的入药方剂：
藏红花的入药方剂：
虎骨熊油膏
金刚活络丹
定坤丹
化癥回生丹
调元养荣丸
新加瓜蒌薤白汤
十八太保英雄丹
万应愈风酒
暹逻清解散
鹿胎冷香丸
月季花的入药方剂：
助孕汤
月季花汤
月季花汤
红曲的入药方剂：
红花苏木汤
神曲煎
栀子郁金汤
红曲酒
琼浆药酒
沉香金粟散
消肿化瘀散
紫色消肿粉
虎骨药酒
养心固本丸
茜草的入药方剂：
损伤膏
革二
茜草散
疏肝清胃丸
凉血五根汤
铅梳子
清热止血法
华山石刻散
羚羊散血饮
失血奇效丸
土牛膝的入药方剂：
舒筋活血洗剂
桃红消瘀汤
神应万效膏
生化通经汤
珠黄夺命散
碧雪丹
啜药散
土牛膝散
紫琼膏
返魂浆
银杏叶(片)的入药方剂：
鸡血藤的入药方剂：
复肝丸
凉血活血汤
散风除湿活血汤
五味活血汤
定坤丹
养心理脾解郁清肺缓肝丸
温经通络汤
百损丸
骨质增生丸
蜈蚣矫正饮
姜黄的入药方剂：
消肿止疼药膏
丁香生胃散
济世丹
增损双解散
木香破气散
阴痧急救膏
延胡索汤
活血舒筋汤
姜黄汤
三色敷药
洋虫的入药方剂：
牛膝的入药方剂：
止痛药
舒筋活血洗剂
天麻钩藤饮
血府逐瘀汤
身痛逐瘀汤
开心薯蓣肾气丸
壮筋养血汤
加味肾气丸
虎骨熊油膏
展阳神丹
大黄的入药方剂：
调胃承气汤
麻子仁丸
一见消
紫根牡蛎汤
八正散
柴胡加龙骨牡蛎汤
三黄洗剂
知母丹
清胰汤
镇惊膏
延胡索的入药方剂：
新订大黄(庶虫)虫汤
羌活牡丹散
补心丸
顺气调经汤
定坤丹
祛风逐湿散
延胡索汤
阑尾化瘀汤
交感地黄煎丸
喉科回春锭
穿山甲的入药方剂：
仙方活命饮
秘方消痞膏药
麻黄夺命汤
红花苏木汤
痔疮丸
海马拔毒散
复元活血汤
通乳涌泉散
活命饮
伸筋草洗方
水蛭的入药方剂：
柴胡聪耳汤
牡丹大黄汤
水蛭散
解毒通脉汤
九江散
水蛭丸
化癥回生丹
接骨如神散
降真龙骨散
金煎药
土田七的入药方剂：
红花的入药方剂：
舒筋活血洗剂
血府逐瘀汤
一见消
紫色消肿膏
壮腰健肾汤
清热调血汤
身痛逐瘀汤
复肝丸
壮筋养血汤
除痔丸
丝瓜藤的入药方剂：
银翘辛夷汤
展轮四维饮
天萝散
西来甘露饮
银翘辛夷汤
鸟不宿的入药方剂：
石见穿的入药方剂：
疏管灵
骨碎补的入药方剂：
舒筋活血洗剂
千金夺命鳖牙膏
麻丸子
外敷接骨散
损伤膏
锡磷脂丸
跳骨丹
大活络丹
酸枣仁煎
脊背续骨汤
云雾七的入药方剂：
夏天无的入药方剂：
菊三七的入药方剂：
水红花子的入药方剂：
阿魏麝香散
逐血破瘀汤
小儿癖积膏
千金消癖丸
阳和膏
贴癖神应膏
小儿癖积丸
透膈清凉羊肝散
仙传化痞丸
定痛五香散
没药的入药方剂：
消肿止疼药膏
止痛药
一见消
小活络丹
身痛逐瘀汤
少腹逐瘀汤
正骨散
千金夺命鳖牙膏
红灵丹
眼科八宝散
木馒头的入药方剂：
痔漏神验方
清化煎
木馒头散
肠风黑散
锁阳丹
三枯髅酒
练根散
黑丸子
肠风黑散
肠风黑散
薯良的入药方剂：
小血藤的入药方剂：
妇女止痛酒
劳伤药酒
过山龙的入药方剂：
退热消毒散
秘传太乙万灵膏
蠲风饮子
去热散
夺命散
刘寄奴的入药方剂：
损伤膏
治本消水汤
泄毒八正散
骨科外洗一方
伸筋草洗方
红花当归丸
荷叶散
调经琥珀汤
刘氏跌打损伤膏
卫生济世汤
益母草花的入药方剂：
野杜仲的入药方剂：
红木香的入药方剂：
当归赤芍汤
经验秦艽汤
棱莪散
八月札的入药方剂：
通络排石场
五灵脂的入药方剂：
秘方消痞膏药
大四斤丸
当归玄胡索汤
定坤丹
