匙叶草(红客妈叶、红虾蟆叶),,,,,,,,,
红榔木(大树皮、棉榔树),,,,,,,,,
马蹬草(过桥草、还阳草、小石韦),,,,,,,,,
狮子七(红景天、土三七),,,,,,,,,
杭白菊花(甘菊),,,,,,,,,
独一味(巴拉努努、吉布孜、麦朵昌巴、哈努巴拉、札江温保、哈吾巴拉、达干木、达折合巴、野秦艽、大巴、打布巴),,,,,,,,,
藏红花(撒法即,番红花,西红花),,,,,,,
双飞蝴蝶(蝴蝶草、鹞子草(《南宁市药物志》)，蝴蝶风(《广西中药志》)。),,,,,,,,,
粽巴叶(蜘蛛抱蛋。),,,,,,,,,
螳螂跌打(硬骨散。),,,,,,,,,
漏斗菜(血见愁(《东北药植志》)),,,,,,,,,
茅莓(国公、红梅消、三月泡、茅莓、蛇泡簕),,,,,,,,,
姜叶三七(姜七、内消子、土三七、打不死。),,,,,,,,,
海尼豆瓣绿(狗骨头、散血丹。),,,,,,,,,
大萼鹿角藤(土杜仲(《云南中草药选》)。),,,,,,,,,
小牛力(土甘草。),,,,,,,,,
小铜锤(黄花草、小麻药、遍地红(《云南中草药》)。),,,,,,,,,
画眉草(榧子草(《植物名实图考》)，星星草(《植物名汇》)，蚊子草(《种子植物名称》)。),,,,,,,,,
接骨仙桃(接骨仙桃草(《救生苦海》)，八卦仙桃(《医方集听》)，蟠桃草、夺命丹、活血丹(《纲目拾遗》)，英桃草(《本草求原》)，蚁公草、本地老鸦草(《岭南采药录》)，蚊母草、小头草(《江苏植药志》)，无风自动草(《贵阳民间药草》)，活血接骨丹(《本草推陈》)，接骨草(《杭州药植志》)。),,,,,,,,,
大独叶草(化血丹。),,,,,,,,,
毛青杠(斩龙剑(《贵州民间方药集》)，小紫金牛(《中国种子植物分类学》)，红刺毛藤(《贵阳民间药草》)。),,,,,,,,,
爬山猴(红孩儿、爬地龙、爬岩龙(《贵州民间方药集》)，岩蜈蚣、野海棠(《贵州民间药物》)。),,,,,,,,,
九龙吐珠(龙吐珠),,,,,,,,,
毛八角莲(独叶一枝花(《广西野生资源植物》)。),,,,,,,,,
苍条鱼鳖(蚂蝗连天蕨、拟石苇(《广西中兽医药植》)，石豇豆(《陕西植药调查》)，卧龙草、马牙齿、瓜子草、打不死、三百棒(《湖南药物志》)，马黄七、回阳生、连天草、小肺金、小线蕨(《广西药植名录》)，鸭舌韦、鸭舌鱼鳖(《浙江天目山药植志》)。),,,,,,,,,
石瓜子莲,,,,,,,,,
水胡满(蟚蜞盖、虎狼草(《生草药性备要》)，臭苦蓢、臭矢茉莉(《岭南采药录》)，缸瓦冧(《广东中药》Ⅱ)。),,,,,,,,,
铜罗伞(胡豆、岩藤、杨桃叶罗伞。),,,,,,,,,
地苏木(过山龙、蕨萁钻石黄、鸡血莲(《四川常用中草药》)，散血莲、凤尾七(《贵州药植目录》)。),,,,,,,,,
水泽兰(扯根菜(《救荒本草》)，水滓蓝(《天宝本草》)，水杨柳(《贵州民间药物》)。),,,,,,,,,
水晶花(四块瓦(《广西中兽医药植》)，土细辛、豆皮香、白开喉箭(《广西药植名录》)，四叶对(《浙江天目山药植志》)，银线草(《浙江民间常用草药》)。),,,,,,,,,
水蕨(荳(《吕氏春秋》)，龙须菜(《植物名实图考》)，龙牙草、水松草、水铁树、水扁柏(《广西药植名录》)。),,,,,,,,,
铁草鞋(豆瓣绿、岩浆草(《云南中草药》)，公鱼藤(《全展选编·外科》)。),,,,,,,,,
麻花(乌麻花(《千金方》)。),,,,,,,,,
葛上亭长(亭长(《本草经集注》)，豆蚝(《动物学大辞典》)，豆斑蝥(《国药的药理学》)，红娘、鸡冠虫(《四川中药志》)。),,,,,,,,,
石菖蒲花,,,,,,,,,
一味药根,,,,,,,,,
鲮鲤(石鲮(《临海异物志》)，龙鲤(郭璞《江赋》)，鳞鲤(《本草图经》)，石鲮鱼(《纲目》)。),,,,,,,,,
猪毛蕨(绿爬山虎、大蕨菜、青竹标(《云南中草药选》)。),,,,,,,,,
独角芋(红半夏、石芋头、红水芋、红芋头、珍珠莫玉散、五彩芋。),,,,,,,,,
月季花叶(月季叶),,,,,,,,,
蓼子草(小毛蓼(《种子植物名称》)，小蓼子草、红蓼子(《四川中药志》)。),,,,,,,,,
榈木(花梨木(《琼州府志》)，青皮树、青豆风柴、青龙捆地、相思树(《湖南药物志》)，鸭公青，三钱三、青竹蛇(江西《草药手册》)。),,,,,,,,,
树葱(石葱、蜈蚣草(《云南中草药选》)，岩葱(《云南思茅中草药选》)。),,,,,,,,,
活血连(墨七、土莎连(《药学学报》10：692，1965)。),,,,,,,,,
蝉翼藤(五味藤、一摩消、丢了棒、象皮藤。),,,,,,,,,
上山龙(蓝果野葡萄(《中国经济植物志》)，大接骨丹、过山龙(《陕西中草药》)，扁担藤(《贵州药植目录》)。),,,,,,,,,
八角枫叶(大风药叶),,,,,,,,,
桑蠹虫(蝤蛴(《诗经》)，蝎、桑蠹、蛣崛(《尔雅》)，桑蝎(《千金方》)，桑虫(《本草图经》)，蛀虫(《纲目》)，桑蚕(《景岳全书》)，铁炮虫(《动物学大辞典》)，老母虫(《四川中药志》)。),,,,,,,,,
鹩哥舌(鹩哥利(《陆川本草》)，鸟舌草(《广西中药志》)。),,,,,,,,,
桂花跌打(山皮条、桂花叶子兰。),,,,,,,,,
大蛇药(阿婆伞、火蕾木、凉伞木(《广西实用中草药新选》)。),,,,,,,,,
龙葵根,,,,,,,,,
錾菜(楼台草、玉容草(《滇南本草》)，白花益母草(《植物名实图考》)，对月草、白花茺蔚(《中国药植志》)。),,,,,,,,,
鸦葱(土参、黄花地丁(《南京民间药草》)，人头发、老鹤咀子(《江苏药材志》)。),,,,,,,,,
醋柳果(沙枣(《高原中草药治疗手册》)，大尔卜兴(藏名)。),,,,,,,,,
青丝线(山蓝、丝线草、枪刀药、青红线、红兰叶),,,,,,,,,
兔儿风(心肺草、石凤丹(四川)。),,,,,,,,,
红升麻(黄力花、接骨草、泽兰(《云南中草药》)。),,,,,,,,,
蟹壳,,,,,,,,,
矮人陀(狗头七、岩七(《昆明民间常用草药》)，见肿消、鹿衔草(《贵州药植目录》)。),,,,,,,,,
牛耳草(石胆草(《滇南本草》)，翻魂草(《植物名实图考》)，蝴蝶草(《全展选编·传染病》)。),,,,,,,,,
石羊菜(下山连、连甲棒、假榄角(《广西药植名录》)，石骨丹(《云南思茅中草药选》)，石羊草(《广西植物名录》)。),,,,,,,,,
油茶根皮,,,,,,,,,
红蓝地花(灯盏花、白带丹。),,,,,,,,,
单刀根(龙眼参、铁罗伞(《南宁市药物志》)，广檀木(《广西中草药》)。),,,,,,,,,
女娄菜(罐罐花、对叶草，对叶菜(《贵州草药》)。),,,,,,,,,
接骨木叶,,,,,,,,,
番木瓜叶,,,,,,,,,
披麻草根(天蒜、小棕包、千张纸、大力王),,,,,,,,,
