匙叶草(红客妈叶、红虾蟆叶),,,,,,,,,
红榔木(大树皮、棉榔树),,,,,,,,,
马蹬草(过桥草、还阳草、小石韦),,,,,,,,,
狮子七(红景天、土三七),,,,,,,,,
杭白菊花(甘菊),,,,,,,,,
独一味(巴拉努努、吉布孜、麦朵昌巴、哈努巴拉、札江温保、哈吾巴拉、达干木、达折合巴、野秦艽、大巴、打布巴),,,,,,,,,
藏红花(撒法即,番红花,西红花),,,,,,,
鬼箭羽(卫矛、鬼箭(《本经》)，神箭(《广雅》)，六月凌(《植物名实图考》)，八树、四棱锋、芸杨，鬼见愁(《中国树木分类学》)，四面锋、篦箕柴(《浙江中药手册》)，风枪林(《中国药植志》)，山鸡条子(《东北药植志》)，四面戟(《药材学》)，千层皮、刀尖茶，雁翎茶、四棱茶(《辽宁经济植物志》)。),,,,,,,,,
光慈姑(老鸦瓣,老鸦头,棉花包,毛地梨,光菇,山蛋),,,,
三棱(京三棱。),,,,,,,,,
急性子(金凤花子(《摘元方》)，凤仙子(《纲目》)。),,,,,,,,,
鹿角(花鹿角、马鹿角),,,,,,,,,
虻虫(蜚虻(《本经))，牛虻(《本草崇原》)，牛蚊子(《中药形性经验鉴别法》)，绿头猛钻(《青海药材》)，牛苍蝇(《浙江中药手册》)，瞎虻虫、瞎蚂蜂(《河北药材》)，瞎蠓(《中药志》)，牛魔蚊(《四川中药志》)。),,,,,,,,,
苏木(苏枋(《南方草木状》)，苏方(《肘后方》)，苏方木(《唐本草》)，窊木(《诸蕃志》)，棕木(《中国主要植物图说·豆科》)，赤木(《兽医国药及处方》)，红柴(《四川中药志》)。),,,,,,,,,
莪术(文莪,蓬术,羌七,广术,黑心姜,文术。),,,,
白花映山红(白杜鹃花(《中国树木分类学》)，照山白(《华北经济植物志要》)，白艳山红(《贵州民间方药集》)。),,,,,,,,,
九里香(千里香,万里香,七里香。),,,,,,,
六月雪叶,,,,,,,,,
神曲茶(六曲茶),,,,,,,,,
狼毒—鸡肠狼毒(金丝矮陀陀,顺水龙,顺水狼毒),,,,,,,
干漆(续命筒,漆渣,黑漆,漆底,漆脚，为漆树科乔木植物漆树的树脂。辛,苦，温；有毒。归肝,胃经。1．破血，祛瘀，通经：用于瘀血阻滞引起的经闭症瘕结块，可与当归，川芎，桃仁等同用。2．杀虫：用于虫积,腹痛,蛔虫,蛲虫等，可与杀虫药同用。【药物形态】本品呈不规则块状，黑褐色或棕褐色，表面粗糙，有蜂窝状细小孔洞或呈颗粒状。质坚硬，不易折断，断面不平坦。具特殊臭气。【化学成分】含漆酚50％～80％，为数种儿茶酚衍生物的混合物。【用量用法】2&amp;mdash;&amp;mdash;9g，水煎服，或入剂。外用适量。【使用注意】孕妇及体虚无瘀者均忌服。)
土阿魏,,,,,,,,,
黑三棱(京三棱,红蒲根,光三棱，为黑三棱科草本植物黑三棱的块根。),,,,,,,
蒲黄(蒲厘花粉、蒲花、蒲棒花粉、蒲草黄),,,,,,,,,
小叶柳(山杨柳、红梅蜡。),,,,,,,,,
多刺绿绒蒿(乌巴拉色尔布(藏名)。),,,,,,,,,
秋海棠根(一口血(《分类草药性》)，金线吊葫芦(《贵州民间方药集》)，红白二丸、岩丸子、大红袍(《陕西中草药》)。),,,,,,,,,
七里香(台湾海桐花),,,,,,,,,
叶上珠根(叶上果根(《贵州草药》)，叶上花根(《云南中草药》)。),,,,,,,,,
牛马藤(过山龙(《草木便方》)，油麻血藤(《中草药资料》)。),,,,,,,,,
麻布七(破骨七、麻布袋(《贵州民间药物》)，统天袋、九连环、网子七、蓑衣七、背网子、龙骨七、龙膝、辫子七、花花七(《陕西中草药》)。七连环(《药学学报》10：692，1966)。),,,,,,,,,
追风伞(惊风伞(《贵州民间方药集》)，一把伞(《贵阳民间药草》)，公接骨丹(《贵州草药》)。),,,,,,,,,
紫金莲(转子莲(《贵州草药》)，紫金标(《贵州药植目录》)，搬倒甑(《中草药通讯》(2):43，1971)。),,,,,,,,,
陆英(接骨草、臭草、走马风、七叶根、七叶麻、蒴藋、走马前、八棱麻),,,,,,,,,
倒生莲(倒水莲(《草木便方》)，花老鼠、尾生根、石上凤尾草(《广西药植名录》)，金鸡尾(《湖南药物志》)，盘龙莲(《贵州草药》)。),,,,,,,,,
篦子舒筋草(牛肋巴、舒筋草。),,,,,,,,,
繁缕(蔜(《尔雅》)，蘩蒌(《别录》)，滋草(《千金·食治》)，鹅肠菜、鹅儿肠菜(《纲目》)，五爪龙(《湖南药物志》)，狗蚤菜(《广西药植名录》)，鹅馄饨(苏医《中草药手册》)。),,,,,,,,,
犀牛皮,,,,,,,,,
石蝉草(火伤叶、胡椒草(《广西药植名录》)，散血胆、豆瓣七、散血丹、石马菜(《云南中草药选》)，豆瓣绿、红豆瓣(《云南思茅中草药选》)。),,,,,,,,,
山韭菜(黑花野韭。),,,,,,,,,
慈姑(茨菇(《药性论》)，白地栗(《本草图经》)，慈菇(《滇南本草》)。),,,,,,,,,
犁头尖(芋头草、小野芋(《生草药性备要》)，犁头草(《本草求原》)，老鼠尾(《广州植物志》)，大叶半夏(《广西药植图志》)，犁头七(《陆川本草》)，土半夏(《闽南民间草药》)，三角青、山半夏、小独脚莲、土巴豆、药狗丹(《南方主要有毒植物》)，芋头七、百步还原(《云南中草药》)。),,,,,,,,,
铺地蜈蚣(筋骨草、小伸筋、过山龙(《植物名实图考》)，水杉(《植物学大辞典》)，狗仔草(《广州植物志》)，狮子草、龙须草、舒筋草(《贵州民间方药集》)，土木胶、猫子藤(《福建民间草药》)，石子藤、青筋草、松筋草(《广西中兽医药植》)，收鸡草(《陆川本草》)，蜈蚣草、山毛柏(《南宁市药物志》)，凤凰伸筋(《江西中药》)，鹿角草(《闽南民间草药》)，伸筋草(《淅扛民间草药》)，立筋草(《四川中药志》)，寸金草、寸寸草(《重庆草药》)，合金草(《湖南药物志》)，龙角藤(《福建中草药》)。),,,,,,,,,
追骨风(八里花、八里麻。),,,,,,,,,
马蹄草(连钱草、大叶金钱草、雷公根、蛐壳草、铜钱草、落得打、十八缺),,,,,,,,,
山黄皮(五薯叶、小叶臭黄皮(《云南中草药选》)，鸡母黄(《南方主要有毒植物》)。),,,,,,,,,
千层塔(蛇交子、毛青杠、虱子草，生扯拢，蛇足草(《贵州民间药物》)，千金榨，矮杉树(《四川中药志》)，万年杉，铁板草(《重庆草药》)，千金虫，刘果奴、矮罗汉、狗牙菜(《湖南药物志》)，金不换、金锁匙、横纹草、充天松(《福建中草药》)，打不死(江西《草药手册》)。),,,,,,,,,
石榴叶,,,,,,,,,
土三七(红背三七,狗头三七,三七草。),,,,,,,
黄花仔(吸血草(《闽南民间草药》)，索仔草(《实用中草药》)。),,,,,,,,,
滴水珠(石半夏、石里开、一滴珠、水滴珠(《江西草药》)，水半夏、独叶一支花、岩芋、天灵芋、一粒珠、岩珠、蛇珠、独龙珠(《浙江民间常用草药》)。),,,,,,,,,
小白撑(黄蜡一枝蒿、泡叶乌头(《云南中草药》)。),,,,,,,,,
昆明鸡血藤(网络鸡血藤(《中国主要植物图说·豆科》)，黄藤、蓝藤(《湖南野生植物》)，硬壳藤、石柱藤、大肠藤(《广西中兽医药植》)，芦藤、老鼠豆(《除害灭病爱国卫生运动手册》)，土鸡血(《杭州药植志》)，青皮活血、血防藤、血灌皮(《湖南药物志》)，光叶朱藤、血藤、白血藤、红藤、黄昭藤、松藤、马尿血豆、崖儿藤(《浙江民间常用草药》)，白骨藤(《广西中草药》)。),,,,,,,,,
调经草,,,,,,,,,
牡丹花,,,,,,,,,
蛴螬(蟦(《尔雅》)，蟦蛴(《本经》)，应条(《吴普本草》)，地蚕(郭璞)，蜰齐、敦齐(《别录》)，乳齐(陶弘景)，土蚕(《安徽药材》)，老母虫(《四川中药志》)，核桃虫(《药材学》)。),,,,,,,,,
千打锤(铁线树(广州部队《常用中草药手册》)，耙齿钩(《中国高等植物图鉴》)。),,,,,,,,,
丝瓜根,,,,,,,,,
鸭脚艾(甜菜子、野勒菜、四季菜(《广州植物志》)，鸡甜菜(《陆川本草》)，鸭脚菜、甜艾(《南宁市药物志》)，珍珠菊、土鳅菜(《福建中草药》)，刘寄奴(《广西药植名录》)),,,,,,,,,
星宿菜(假辣蓼、泥鳅菜(《广州植物志》)，红根草(《福建民间草药》)，红气根、红七草、金鸡脚、百煎草、蛙霓草(《广西中兽医药植》)，黄鳅窜、红头绳、血丝草(《江西民间草药》)，红灯心(《浙江中药资源名录》)，红筋仔(《闽东本草》)，大田基黄、麻雀利(《广西民间常用草药》)，红筋草、地木回、拔血红、红香子、红梗草、田岸柴(《浙江民间常用草药》，定经草、水柯、红根仔、矮荷子(《福建中草药》)。),,,,,,,,,
和血丹(胡枝子(《植物名实图考》)，大叶乌梢、大叶马料梢(《浙江天目山药植志》)。),,,,,,,,,
金丝杜仲(黄皮杜仲(《云南中草药》)，棉杜仲(《云南中草药选》)。),,,,,,,,,
